date,ndvi
2018-01-31,0.58
2018-02-28,0.60
2018-03-31,0.64
2018-04-30,0.69
2018-05-31,0.72
2018-06-30,0.74
2018-07-31,0.71
2018-08-31,0.68
2018-09-30,0.63
2018-10-31,0.59
2018-11-30,0.56
2018-12-31,0.54
2019-01-31,0.57
2019-02-28,0.61
2019-03-31,0.65
2019-04-30,0.70
2019-05-31,0.73
2019-06-30,0.75
2019-07-31,0.72
2019-08-31,0.69
2019-09-30,0.64
2019-10-31,0.60
2019-11-30,0.57
2019-12-31,0.55
2020-01-31,0.56
2020-02-29,0.59
2020-03-31,0.63
2020-04-30,0.67
2020-05-31,0.70
2020-06-30,0.71
2020-07-31,0.66
2020-08-31,0.61
2020-09-30,0.55
2020-10-31,0.52
2020-11-30,0.50
2020-12-31,0.49
2021-01-31,0.53
2021-02-28,0.57
2021-03-31,0.61
2021-04-30,0.66
2021-05-31,0.69
2021-06-30,0.70
2021-07-31,0.67
2021-08-31,0.64
2021-09-30,0.60
2021-10-31,0.56
2021-11-30,0.53
2021-12-31,0.51
2022-01-31,0.55
2022-02-28,0.58
2022-03-31,0.62
2022-04-30,0.67
2022-05-31,0.71
2022-06-30,0.73
2022-07-31,0.70
2022-08-31,0.66
2022-09-30,0.61
2022-10-31,0.57
2022-11-30,0.54
2022-12-31,0.52
2023-01-31,0.56
2023-02-28,0.60
2023-03-31,0.64
2023-04-30,0.69
2023-05-31,0.73
2023-06-30,0.75
2023-07-31,0.72
2023-08-31,0.68
2023-09-30,0.63
2023-10-31,0.59
2023-11-30,0.56
2023-12-31,0.54
2024-01-31,0.57
2024-02-29,0.61
2024-03-31,0.65
2024-04-30,0.70
2024-05-31,0.73
2024-06-30,0.74
2024-07-31,0.71
2024-08-31,0.67
2024-09-30,0.62
2024-10-31,0.58
2024-11-30,0.55
2024-12-31,0.53